transaction_id,customer_id,product_category,transaction_value,return_status,transaction_date,discount_code,channel
TXN0000001,CUST024819,Electronics,249.99,SALE,2025-04-01,SPRING10,online
TXN0000002,,Apparel,89.50,RTN,2025-04-01,,in-store
TXN0000003,CUST031204,Home,412.00,SALE,2025-04-02,,online
TXN0000004,CUST019857,Beauty,,SALE,2025-04-02,BEAUTY20,online
TXN0000005,,Sports,178.25,SALE,2025-04-03,,in-store
TXN0000006,CUST044102,Electronics,599.00,RETURN,2025-04-03,,online
TXN0000007,CUST008843,Books,34.99,SALE,2025-04-04,,online
TXN0000008,,Apparel,145.00,RET,2025-04-04,,in-store
TXN0000009,CUST027391,Home,289.50,SALE,2025-04-05,,online
TXN0000010,CUST015674,Toys,67.99,SALE,2025-04-05,,in-store
TXN0000011,,Electronics,899.00,SALE,2025-04-06,TECH15,online
TXN0000012,CUST038921,Food,52.30,VOID,2025-04-06,,in-store
TXN0000013,CUST003847,Garden,334.00,SALE,2025-04-07,,online
TXN0000014,,Auto,1249.99,SALE,2025-04-07,,online
TXN0000015,CUST022510,Health,78.50,RTN,2025-04-08,,in-store
TXN0000016,CUST041293,Office,215.00,SALE,2025-04-08,,online
TXN0000017,,Beauty,94.99,SALE,2025-04-09,BEAUTY20,online
TXN0000018,CUST017856,Apparel,,SALE,2025-04-09,,in-store
TXN0000019,CUST029104,Sports,445.00,SALE,2025-04-10,,online
TXN0000020,CUST006382,Electronics,1299.00,RET,2025-04-10,,online
